CustomerID,Lookalike1,Score1,Lookalike2,Score2,Lookalike3,Score3
C0001,C0011,0.9999999917150763,C0131,0.9999999906579886,C0191,0.9999999901222912
C0002,C0043,0.9999999978943409,C0142,0.9999998962125368,C0136,0.9999998830874184
C0003,C0157,0.9999999807142139,C0176,0.9999999704511933,C0119,0.9999999606228821
C0004,C0132,0.9999999994546347,C0072,0.9999999935749038,C0169,0.9999999880449344
C0005,C0173,0.9999999999970868,C0145,0.9999999997034683,C0143,0.9999999994532175
C0006,C0126,0.9999999985805198,C0171,0.9999999890444784,C0118,0.9999999839293631
C0007,C0146,0.9999999999408112,C0021,0.9999999993668264,C0138,0.9999999974920598
C0008,C0197,0.9999999986138352,C0086,0.99999999377713,C0166,0.999999992690309
C0009,C0198,0.9999999910572125,C0137,0.9999999757984188,C0184,0.9999999677801175
C0010,C0049,0.9999998972989363,C0097,0.9999997902154776,C0091,0.9999997425277073
C0011,C0001,0.9999999917150763,C0063,0.9999999867162125,C0107,0.9999999845985483
C0012,C0194,0.9999999983066395,C0153,0.999999997064393,C0139,0.9999999920040895
C0013,C0117,0.9999999997782365,C0154,0.9999999987581893,C0188,0.9999999958613779
C0014,C0083,0.9999988298189876,C0144,0.999998701296768,C0071,0.99999868530761
C0015,C0020,0.9999998823588547,C0192,0.9999998790979624,C0120,0.9999998505946927
C0016,C0096,0.9999999983160702,C0185,0.9999999965829187,C0050,0.9999999904854152
C0017,C0124,0.9999999989840386,C0106,0.9999999778612088,C0161,0.9999999771342062
C0018,C0068,0.9999999943813008,C0070,0.9999999923440126,C0179,0.9999999872217883
C0019,C0073,0.9999999835325953,C0062,0.9999999766755064,C0086,0.9999999464941614
C0020,C0015,0.9999998823588547,C0095,0.9999997805573817,C0192,0.9999995557737251
